Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
차주번호,차주명,Assign,자산유형,1안_FIX1,2안_FIX1,1안_FIX2,2안_FIX2,1안차이,2안차이,수정셀 보기,수정사유 입력
,,,,,,,,0,0,,
